loan_amnt,dti,emp_length,accepted
15000.0,13.24,6 years,1
23100.0,20.43,2 years,1
27300.0,25.63,10+ years,1
25000.0,4.65,10+ years,1
15000.0,10.17,1 year,1
10000.0,30.84,< 1 year,1
18500.0,13.2,10+ years,1
5000.0,13.73,6 years,1
9000.0,11.98,1 year,1
11000.0,15.0,10+ years,1
20000.0,29.15,6 years,1
15000.0,20.18,,1
12000.0,15.3,4 years,1
8000.0,21.23,< 1 year,1
12000.0,31.95,3 years,1
18000.0,25.65,5 years,1
3600.0,17.44,< 1 year,1
7200.0,13.21,9 years,1
15000.0,18.17,4 years,1
5000.0,6.52,6 years,1
11550.0,21.07,5 years,1
33600.0,14.01,8 years,1
17475.0,23.58,2 years,1
9000.0,8.43,8 years,1
12000.0,23.84,10+ years,1
4000.0,15.83,2 years,1
10500.0,8.51,3 years,1
14000.0,15.97,4 years,1
6000.0,14.45,10+ years,1
15000.0,13.89,3 years,1
12000.0,26.32,4 years,1
10000.0,21.75,2 years,1
4200.0,31.02,2 years,1
35000.0,35.69,8 years,1
5475.0,33.47,10+ years,1
6000.0,23.26,3 years,1
24000.0,10.11,10+ years,1
10000.0,3.3,< 1 year,1
6900.0,9.57,10+ years,1
15975.0,20.45,4 years,1
21600.0,17.64,9 years,1
14400.0,17.02,3 years,1
8000.0,23.26,< 1 year,1
7000.0,21.96,2 years,1
20000.0,36.94,< 1 year,1
25825.0,31.68,6 years,1
24575.0,24.16,10+ years,1
3200.0,20.61,10+ years,1
22875.0,32.3,10+ years,1
35000.0,24.19,< 1 year,1
2400.0,28.38,2 years,1
25000.0,13.83,,1
8800.0,35.52,2 years,1
2500.0,38.06,,1
8000.0,14.86,1 year,1
20000.0,27.1,10+ years,1
35000.0,13.39,10+ years,1
15000.0,10.67,,1
16000.0,8.78,1 year,1
10800.0,26.13,3 years,1
7500.0,37.2,10+ years,1
16000.0,35.19,5 years,1
9000.0,21.63,10+ years,1
9500.0,27.95,10+ years,1
10000.0,29.91,2 years,1
6000.0,17.92,10+ years,1
15600.0,15.37,10+ years,1
35000.0,13.36,< 1 year,1
5000.0,21.21,9 years,1
20400.0,38.65,2 years,1
8000.0,11.52,,1
16000.0,13.74,3 years,1
18000.0,15.56,10+ years,1
35000.0,25.07,1 year,1
13150.0,20.25,1 year,1
5600.0,19.85,8 years,1
23000.0,17.09,9 years,1
12600.0,11.75,1 year,1
11000.0,16.85,8 years,1
4000.0,12.9,3 years,1
20000.0,22.62,5 years,1
10000.0,32.7,10+ years,1
18850.0,15.56,< 1 year,1
21000.0,15.07,10+ years,1
10500.0,15.39,4 years,1
4575.0,10.03,5 years,1
5000.0,27.9,1 year,1
8000.0,15.15,,1
5000.0,9.16,1 year,1
9075.0,8.39,10+ years,1
12500.0,6.83,10+ years,1
19600.0,18.99,8 years,1
35000.0,10.97,2 years,1
28000.0,24.83,1 year,1
14000.0,19.24,1 year,1
16000.0,6.97,,1
14000.0,6.73,4 years,1
24000.0,22.8,8 years,1
35000.0,18.19,6 years,1
8000.0,31.06,< 1 year,1
3600.0,26.45,1 year,1
10500.0,30.73,10+ years,1
3000.0,12.09,10+ years,1
16000.0,17.11,2 years,1
8000.0,25.01,10+ years,1
19500.0,13.74,< 1 year,1
2000.0,6.78,8 years,1
16000.0,14.45,8 years,1
3500.0,17.97,8 years,1
24000.0,26.89,3 years,1
6000.0,3.98,2 years,1
24000.0,26.83,9 years,1
14875.0,36.3,3 years,1
10000.0,37.55,7 years,1
15000.0,14.86,2 years,1
10000.0,14.61,10+ years,1
24000.0,7.23,10+ years,1
23525.0,13.33,5 years,1
11000.0,12.69,10+ years,1
24000.0,20.16,2 years,1
16000.0,14.68,10+ years,1
15000.0,17.07,5 years,1
5000.0,19.56,8 years,1
15000.0,10.14,3 years,1
15000.0,25.56,10+ years,1
3500.0,17.65,10+ years,1
20000.0,12.77,2 years,1
35000.0,14.48,9 years,1
2000.0,12.66,10+ years,1
12000.0,25.43,2 years,1
8000.0,18.92,1 year,1
10000.0,10.55,10+ years,1
35000.0,19.43,10+ years,1
25600.0,10.88,3 years,1
4325.0,16.96,10+ years,1
6000.0,33.78,10+ years,1
18200.0,29.28,8 years,1
10000.0,19.38,3 years,1
30000.0,12.03,5 years,1
13200.0,15.45,2 years,1
10000.0,4.76,5 years,1
3000.0,22.82,5 years,1
20000.0,19.04,10+ years,1
13875.0,23.53,10+ years,1
18000.0,14.4,10+ years,1
15225.0,21.21,3 years,1
16000.0,21.16,6 years,1
21000.0,6.2,7 years,1
13000.0,16.74,< 1 year,1
20000.0,4.99,5 years,1
31075.0,17.18,10+ years,1
18000.0,14.88,10+ years,1
5000.0,33.39,,1
4675.0,34.07,< 1 year,1
6000.0,14.42,4 years,1
12000.0,12.62,10+ years,1
13000.0,9.9,10+ years,1
1800.0,20.38,10+ years,1
4475.0,8.36,10+ years,1
14400.0,16.32,8 years,1
5875.0,9.53,5 years,1
20000.0,25.1,7 years,1
10000.0,23.26,5 years,1
34100.0,29.14,8 years,1
24000.0,12.37,3 years,1
5200.0,8.0,7 years,1
16800.0,5.76,< 1 year,1
10000.0,10.95,7 years,1
22000.0,22.34,10+ years,1
28000.0,29.88,10+ years,1
7200.0,20.68,10+ years,1
18000.0,38.35,9 years,1
8400.0,29.2,1 year,1
5000.0,31.08,2 years,1
5000.0,10.93,10+ years,1
2400.0,24.14,5 years,1
15000.0,21.48,9 years,1
6075.0,27.37,9 years,1
20000.0,22.58,2 years,1
6025.0,21.32,10+ years,1
8400.0,12.96,2 years,1
15000.0,21.17,2 years,1
12000.0,3.61,< 1 year,1
28800.0,6.68,8 years,1
5000.0,19.22,10+ years,1
5000.0,30.24,7 years,1
31500.0,10.55,10+ years,1
24000.0,13.05,10+ years,1
20000.0,23.89,< 1 year,1
24000.0,20.82,2 years,1
21850.0,12.74,10+ years,1
9500.0,8.67,10+ years,1
20000.0,16.7,10+ years,1
20000.0,26.92,10+ years,1
20000.0,16.93,< 1 year,1
12000.0,20.12,10+ years,1
10000.0,14.73,10+ years,1
12000.0,18.91,10+ years,1
12000.0,6.4,8 years,1
6425.0,2.87,1 year,1
12700.0,34.32,3 years,1
35000.0,9.23,10+ years,1
15000.0,31.29,2 years,1
20550.0,26.38,10+ years,1
25000.0,25.48,10+ years,1
14000.0,13.36,10+ years,1
16925.0,22.09,10+ years,1
4700.0,17.64,3 years,1
5000.0,13.63,,1
12000.0,17.66,2 years,1
12000.0,12.61,10+ years,1
15000.0,4.66,1 year,1
4900.0,25.6,2 years,1
18000.0,16.82,< 1 year,1
18000.0,19.76,5 years,1
25000.0,21.33,10+ years,1
15000.0,13.92,10+ years,1
3600.0,18.93,1 year,1
33000.0,20.68,5 years,1
14950.0,31.36,10+ years,1
15000.0,35.77,10+ years,1
7000.0,25.68,2 years,1
35000.0,18.93,4 years,1
8000.0,5.9,,1
20000.0,22.84,8 years,1
14375.0,37.32,< 1 year,1
21000.0,10.51,< 1 year,1
3700.0,20.81,10+ years,1
8400.0,26.77,10+ years,1
7200.0,23.57,1 year,1
16800.0,17.27,8 years,1
9000.0,0.63,7 years,1
6000.0,31.87,6 years,1
34000.0,13.32,7 years,1
16000.0,11.78,10+ years,1
11200.0,15.88,10+ years,1
6000.0,19.42,10+ years,1
9100.0,15.57,4 years,1
10000.0,29.15,10+ years,1
30000.0,17.73,1 year,1
8450.0,15.09,10+ years,1
8775.0,20.37,10+ years,1
6000.0,17.08,5 years,1
10000.0,5.17,10+ years,1
10000.0,36.23,4 years,1
7200.0,38.63,3 years,1
20000.0,18.76,5 years,1
20000.0,19.14,2 years,1
5000.0,10.44,8 years,1
15000.0,23.47,< 1 year,1
23950.0,18.41,3 years,1
15000.0,24.79,10+ years,1
2250.0,16.88,< 1 year,1
14000.0,37.39,1 year,1
14000.0,5.04,2 years,1
18000.0,7.93,3 years,1
12000.0,2.71,3 years,1
5600.0,13.18,10+ years,1
35000.0,25.52,1 year,1
8000.0,22.48,3 years,1
2400.0,16.39,3 years,1
35000.0,19.74,< 1 year,1
7000.0,37.22,10+ years,1
8000.0,33.78,2 years,1
6125.0,17.36,4 years,1
10400.0,18.51,10+ years,1
30000.0,17.1,5 years,1
4000.0,8.18,5 years,1
10000.0,19.92,10+ years,1
16000.0,24.41,< 1 year,1
24000.0,29.07,10+ years,1
19225.0,18.21,< 1 year,1
13000.0,5.51,5 years,1
2000.0,8.51,3 years,1
19200.0,19.24,< 1 year,1
10000.0,9.99,10+ years,1
35000.0,18.89,4 years,1
15000.0,36.4,10+ years,1
35000.0,16.85,< 1 year,1
18000.0,27.17,< 1 year,1
8000.0,25.15,6 years,1
15000.0,30.08,10+ years,1
17400.0,7.04,10+ years,1
35000.0,14.98,10+ years,1
12000.0,12.13,3 years,1
24000.0,23.98,10+ years,1
8000.0,29.22,5 years,1
16775.0,29.91,1 year,1
8000.0,15.15,3 years,1
21000.0,29.75,< 1 year,1
10000.0,21.59,< 1 year,1
6000.0,18.45,< 1 year,1
6000.0,23.96,,1
8400.0,13.92,< 1 year,1
10000.0,23.23,10+ years,1
6000.0,2.8,2 years,1
20000.0,12.51,10+ years,1
4600.0,14.79,,1
20000.0,33.75,10+ years,1
15000.0,31.62,2 years,1
12000.0,23.98,4 years,1
5000.0,16.7,10+ years,1
6000.0,18.34,< 1 year,1
6000.0,20.37,10+ years,1
28000.0,37.26,10+ years,1
15000.0,16.95,3 years,1
10500.0,27.58,10+ years,1
10000.0,11.19,3 years,1
3600.0,22.42,< 1 year,1
10000.0,26.9,10+ years,1
30000.0,13.54,10+ years,1
8000.0,10.12,2 years,1
15000.0,10.17,1 year,1
21600.0,17.42,2 years,1
12000.0,16.86,10+ years,1
28000.0,21.05,8 years,1
6400.0,15.6,10+ years,1
15000.0,12.2,10+ years,1
13000.0,26.32,2 years,1
10000.0,15.56,3 years,1
24800.0,14.76,10+ years,1
12000.0,25.98,10+ years,1
15000.0,17.56,1 year,1
24000.0,15.82,3 years,1
2000.0,10.17,10+ years,1
22600.0,25.31,3 years,1
13500.0,25.3,10+ years,1
6000.0,19.96,10+ years,1
5000.0,29.15,10+ years,1
20000.0,12.18,10+ years,1
12000.0,18.54,10+ years,1
32000.0,19.13,10+ years,1
15200.0,14.52,10+ years,1
12500.0,16.98,< 1 year,1
21000.0,17.19,4 years,1
16000.0,24.49,3 years,1
24650.0,22.64,10+ years,1
11000.0,28.73,3 years,1
22400.0,18.69,10+ years,1
15125.0,25.38,10+ years,1
8000.0,23.76,10+ years,1
8000.0,11.86,2 years,1
11000.0,19.18,2 years,1
28500.0,29.37,< 1 year,1
25000.0,21.3,5 years,1
7000.0,16.1,5 years,1
12000.0,12.07,< 1 year,1
5875.0,25.65,10+ years,1
18000.0,15.54,10+ years,1
28000.0,23.69,1 year,1
35000.0,5.71,10+ years,1
31800.0,24.15,< 1 year,1
25000.0,22.57,10+ years,1
16000.0,20.73,6 years,1
35000.0,14.95,5 years,1
18000.0,11.52,1 year,1
10000.0,15.05,< 1 year,1
8000.0,20.54,2 years,1
15000.0,8.75,,1
20000.0,22.47,4 years,1
14000.0,14.39,10+ years,1
20500.0,18.56,,1
4700.0,14.21,4 years,1
28000.0,14.47,4 years,1
12000.0,24.86,10+ years,1
7200.0,11.07,< 1 year,1
11000.0,37.56,,1
11000.0,5.7,5 years,1
3500.0,22.29,1 year,1
23850.0,13.58,3 years,1
3600.0,14.33,3 years,1
16500.0,2.56,10+ years,1
8275.0,38.05,,1
35000.0,15.77,< 1 year,1
20000.0,20.04,< 1 year,1
22800.0,21.96,6 years,1
10000.0,33.54,4 years,1
19000.0,18.42,10+ years,1
6000.0,10.8,2 years,1
35000.0,27.22,10+ years,1
6000.0,12.55,10+ years,1
16000.0,33.12,< 1 year,1
5000.0,14.28,,1
3000.0,32.18,1 year,1
20000.0,33.29,10+ years,1
24000.0,35.7,6 years,1
20000.0,27.2,10+ years,1
8000.0,22.05,< 1 year,1
5000.0,38.61,< 1 year,1
20000.0,15.9,10+ years,1
5000.0,24.66,6 years,1
12000.0,16.27,5 years,1
19675.0,8.09,< 1 year,1
24000.0,2.96,3 years,1
12000.0,24.06,2 years,1
12000.0,29.87,4 years,1
28000.0,11.95,2 years,1
14000.0,26.66,7 years,1
9975.0,21.14,9 years,1
10000.0,16.42,8 years,1
3600.0,29.79,5 years,1
27850.0,26.18,10+ years,1
14000.0,25.43,4 years,1
12475.0,28.49,2 years,1
24000.0,22.7,1 year,1
22400.0,20.45,3 years,1
26000.0,26.03,6 years,1
25000.0,6.39,,1
14000.0,11.99,10+ years,1
10000.0,13.16,8 years,1
11550.0,18.41,,1
14000.0,19.34,6 years,1
9000.0,9.28,10+ years,1
8000.0,25.36,3 years,1
11000.0,28.36,2 years,1
11200.0,14.79,2 years,1
21000.0,21.56,2 years,1
35000.0,19.75,10+ years,1
20000.0,23.85,3 years,1
24000.0,17.15,10+ years,1
19800.0,23.47,3 years,1
30000.0,24.39,9 years,1
28000.0,21.6,3 years,1
27300.0,17.02,4 years,1
24000.0,19.76,10+ years,1
1450.0,18.59,2 years,1
4000.0,5.79,2 years,1
1000.0,20.64,10+ years,1
24950.0,15.95,5 years,1
25000.0,9.14,10+ years,1
6000.0,16.17,10+ years,1
21000.0,22.5,< 1 year,1
2950.0,16.58,,1
33100.0,23.77,10+ years,1
6000.0,23.03,10+ years,1
10500.0,23.62,1 year,1
12000.0,20.82,5 years,1
20000.0,16.8,10+ years,1
10000.0,14.89,1 year,1
9525.0,30.96,6 years,1
20000.0,14.68,2 years,1
14450.0,2.86,7 years,1
21600.0,20.73,3 years,1
12600.0,5.56,1 year,1
14800.0,20.55,7 years,1
20000.0,15.29,1 year,1
9600.0,13.83,10+ years,1
11900.0,32.83,3 years,1
20800.0,29.6,< 1 year,1
30000.0,22.99,10+ years,1
12000.0,30.04,3 years,1
5000.0,8.28,2 years,1
15000.0,30.95,2 years,1
18900.0,30.45,5 years,1
5000.0,36.53,10+ years,1
19850.0,17.2,7 years,1
8000.0,19.74,2 years,1
20000.0,20.0,4 years,1
20000.0,23.24,10+ years,1
28000.0,17.73,8 years,1
12000.0,20.31,3 years,1
15000.0,4.96,4 years,1
30000.0,9.82,3 years,1
17000.0,9.21,5 years,1
15750.0,21.96,8 years,1
5000.0,30.98,10+ years,1
24000.0,17.71,10+ years,1
15000.0,16.93,10+ years,1
30000.0,12.08,10+ years,1
4200.0,24.85,10+ years,1
6025.0,6.82,7 years,1
14850.0,13.57,10+ years,1
10000.0,16.45,10+ years,1
10000.0,36.81,2 years,1
35000.0,4.3,1 year,1
15000.0,34.58,< 1 year,1
5000.0,19.27,8 years,1
11000.0,21.88,3 years,1
5500.0,25.55,2 years,1
2500.0,12.48,< 1 year,1
21150.0,26.17,5 years,1
20000.0,25.7,1 year,1
5875.0,10.48,3 years,1
24000.0,15.15,10+ years,1
12000.0,27.42,1 year,1
19200.0,23.81,10+ years,1
8000.0,19.85,,1
28000.0,28.35,8 years,1
13500.0,14.45,10+ years,1
11000.0,27.87,10+ years,1
15000.0,30.65,3 years,1
20000.0,21.31,3 years,1
35000.0,22.42,10+ years,1
10000.0,22.74,10+ years,1
9000.0,6.31,2 years,1
8400.0,13.27,3 years,1
20000.0,16.49,10+ years,1
22500.0,14.34,10+ years,1
20000.0,18.48,8 years,1
21000.0,28.69,5 years,1
18700.0,30.81,< 1 year,1
35000.0,33.8,2 years,1
21000.0,24.0,10+ years,1
30000.0,14.19,5 years,1
14000.0,23.73,,1
24000.0,0.7,2 years,1
35000.0,19.26,10+ years,1
3225.0,24.01,5 years,1
28000.0,14.63,3 years,1
7200.0,24.6,10+ years,1
12000.0,18.28,5 years,1
35000.0,21.53,10+ years,1
12000.0,14.06,< 1 year,1
5000.0,11.78,7 years,1
25000.0,11.11,6 years,1
8750.0,46.71,1 year,1
6600.0,7.04,4 years,1
10000.0,28.37,2 years,1
12500.0,27.11,10+ years,1
26250.0,26.9,10+ years,1
24000.0,8.29,10+ years,1
15000.0,14.89,9 years,1
13750.0,36.36,10+ years,1
35000.0,16.82,< 1 year,1
7000.0,6.68,10+ years,1
5600.0,30.79,10+ years,1
21000.0,13.09,8 years,1
15000.0,13.56,4 years,1
6400.0,14.4,6 years,1
8400.0,20.42,10+ years,1
20000.0,11.66,6 years,1
15000.0,31.44,,1
13600.0,2.87,10+ years,1
18000.0,17.49,3 years,1
35000.0,14.65,10+ years,1
20000.0,31.24,10+ years,1
20000.0,9.24,10+ years,1
11200.0,11.96,10+ years,1
25000.0,27.24,2 years,1
2500.0,21.19,6 years,1
16000.0,19.44,1 year,1
5600.0,28.73,10+ years,1
10000.0,13.3,10+ years,1
3200.0,18.05,,1
28000.0,8.56,4 years,1
15000.0,26.24,10+ years,1
21600.0,15.84,1 year,1
10000.0,3.86,9 years,1
5000.0,16.01,10+ years,1
12000.0,14.75,3 years,1
15175.0,7.57,2 years,1
21000.0,14.69,< 1 year,1
7000.0,12.87,,1
12000.0,6.92,3 years,1
3200.0,25.91,10+ years,1
7200.0,39.21,10+ years,1
13200.0,32.56,10+ years,1
20000.0,17.38,,1
18000.0,6.42,2 years,1
18000.0,14.69,6 years,1
7500.0,9.74,3 years,1
15000.0,23.7,10+ years,1
2400.0,11.67,10+ years,1
2000.0,15.61,10+ years,1
10000.0,16.18,10+ years,1
30000.0,22.36,< 1 year,1
25000.0,16.87,10+ years,1
11925.0,28.44,10+ years,1
3000.0,13.38,10+ years,1
13200.0,10.03,1 year,1
5000.0,17.48,10+ years,1
9000.0,22.64,10+ years,1
10000.0,12.39,3 years,1
1000.0,35.72,10+ years,1
12000.0,32.68,10+ years,1
24000.0,22.55,10+ years,1
8500.0,5.88,1 year,1
3500.0,19.03,8 years,1
16100.0,15.96,10+ years,1
10000.0,12.73,< 1 year,1
6000.0,26.06,4 years,1
5000.0,30.53,10+ years,1
18000.0,10.49,10+ years,1
1000.0,31.08,10+ years,1
3850.0,22.59,< 1 year,1
2000.0,4.01,4 years,1
10175.0,20.28,3 years,1
10000.0,21.79,< 1 year,1
20000.0,17.75,5 years,1
35000.0,25.38,10+ years,1
20000.0,13.95,10+ years,1
20000.0,12.63,2 years,1
12250.0,34.1,4 years,1
15000.0,16.91,8 years,1
10000.0,5.27,10+ years,1
3600.0,9.48,7 years,1
5000.0,16.36,10+ years,1
35000.0,26.84,10+ years,1
13000.0,25.89,10+ years,1
4000.0,11.45,5 years,1
22450.0,33.18,10+ years,1
4800.0,10.29,1 year,1
21275.0,32.79,4 years,1
15000.0,15.76,10+ years,1
12000.0,9.44,4 years,1
9650.0,15.18,< 1 year,1
24000.0,15.46,10+ years,1
35000.0,23.09,10+ years,1
25000.0,6.66,10+ years,1
9100.0,12.57,10+ years,1
25000.0,25.97,2 years,1
18000.0,35.0,6 years,1
10800.0,23.62,10+ years,1
9600.0,5.54,2 years,1
3600.0,14.1,3 years,1
12000.0,12.31,10+ years,1
12000.0,19.24,10+ years,1
18000.0,13.88,8 years,1
22925.0,31.04,< 1 year,1
8000.0,4.91,3 years,1
7000.0,29.75,3 years,1
4500.0,22.82,5 years,1
11500.0,39.16,,1
5000.0,24.79,4 years,1
5000.0,25.58,2 years,1
2800.0,6.34,7 years,1
12000.0,14.11,8 years,1
16075.0,13.29,3 years,1
21000.0,14.65,4 years,1
20000.0,12.31,10+ years,1
28000.0,19.6,5 years,1
15000.0,19.5,2 years,1
15000.0,39.87,7 years,1
24000.0,8.91,10+ years,1
35000.0,13.34,4 years,1
17125.0,17.44,4 years,1
30000.0,19.9,9 years,1
8000.0,11.98,2 years,1
5000.0,26.45,3 years,1
9100.0,25.6,5 years,1
1800.0,8.28,10+ years,1
4850.0,6.15,< 1 year,1
24000.0,12.07,10+ years,1
8000.0,15.62,10+ years,1
10000.0,11.69,3 years,1
9600.0,10.48,4 years,1
20000.0,26.93,1 year,1
10000.0,12.15,10+ years,1
6000.0,13.5,10+ years,1
22000.0,7.21,,1
28000.0,10.57,1 year,1
5000.0,14.3,4 years,1
18000.0,18.44,10+ years,1
10000.0,25.73,10+ years,1
11200.0,7.78,< 1 year,1
2150.0,11.74,3 years,1
9000.0,17.29,10+ years,1
12500.0,12.18,10+ years,1
6000.0,15.82,< 1 year,1
20000.0,26.02,6 years,1
21000.0,12.09,10+ years,1
35000.0,13.33,< 1 year,1
30000.0,33.15,10+ years,1
6000.0,23.84,3 years,1
28000.0,17.76,10+ years,1
6000.0,25.04,10+ years,1
15000.0,32.33,10+ years,1
30800.0,33.98,10+ years,1
12000.0,19.13,10+ years,1
2000.0,27.73,6 years,1
4275.0,28.55,1 year,1
6000.0,16.11,2 years,1
18000.0,10.48,1 year,1
25000.0,23.21,10+ years,1
6000.0,19.81,3 years,1
9900.0,21.71,10+ years,1
35000.0,21.72,5 years,1
18250.0,27.52,1 year,1
12000.0,16.19,,1
30000.0,21.38,10+ years,1
21000.0,23.42,4 years,1
1000.0,39.11,10+ years,1
3600.0,27.93,10+ years,1
12000.0,33.1,3 years,1
20000.0,7.1,1 year,1
15000.0,25.25,< 1 year,1
7000.0,19.79,4 years,1
30000.0,19.07,10+ years,1
2000.0,27.61,10+ years,1
13000.0,26.64,10+ years,1
15000.0,7.24,10+ years,1
17000.0,21.02,9 years,1
14000.0,15.22,5 years,1
10500.0,29.55,8 years,1
15000.0,24.61,7 years,1
12600.0,21.58,7 years,1
12000.0,17.73,9 years,1
28000.0,35.91,1 year,1
11750.0,22.16,1 year,1
24000.0,8.32,2 years,1
8300.0,9.46,,1
15000.0,29.6,10+ years,1
8000.0,20.13,5 years,1
24000.0,14.44,4 years,1
35000.0,19.13,10+ years,1
12000.0,22.87,7 years,1
13050.0,22.79,10+ years,1
8400.0,21.79,10+ years,1
9600.0,15.15,8 years,1
10000.0,10.55,4 years,1
1800.0,13.42,1 year,1
15000.0,13.21,5 years,1
6000.0,16.99,1 year,1
10000.0,19.44,< 1 year,1
25000.0,18.47,10+ years,1
8675.0,33.93,,1
14000.0,20.05,2 years,1
16000.0,5.76,10+ years,1
21700.0,24.74,10+ years,1
2800.0,18.6,2 years,1
3600.0,28.08,10+ years,1
20000.0,19.02,10+ years,1
30000.0,18.47,10+ years,1
20000.0,9.71,4 years,1
30000.0,7.96,< 1 year,1
10000.0,14.16,1 year,1
30000.0,20.72,< 1 year,1
3350.0,23.49,,1
12000.0,21.87,< 1 year,1
6000.0,29.05,10+ years,1
19200.0,15.5,< 1 year,1
12000.0,4.9,5 years,1
20000.0,21.6,10+ years,1
13200.0,15.42,1 year,1
35000.0,13.77,4 years,1
14400.0,27.96,< 1 year,1
3000.0,15.73,5 years,1
23200.0,18.84,< 1 year,1
18250.0,24.55,,1
14000.0,16.03,3 years,1
12000.0,29.15,10+ years,1
3000.0,17.24,2 years,1
4000.0,2.17,5 years,1
5000.0,18.52,2 years,1
12425.0,6.62,,1
31325.0,30.13,1 year,1
28000.0,12.67,10+ years,1
2500.0,16.73,10+ years,1
5000.0,6.46,< 1 year,1
1400.0,20.24,10+ years,1
8200.0,0.76,3 years,1
5400.0,26.23,2 years,1
25000.0,14.03,10+ years,1
20000.0,4.94,10+ years,1
25500.0,16.37,7 years,1
13475.0,19.79,10+ years,1
7200.0,13.54,4 years,1
30000.0,15.61,6 years,1
15000.0,24.76,< 1 year,1
21600.0,19.93,5 years,1
15000.0,7.58,3 years,1
11000.0,0.94,10+ years,1
6400.0,27.44,10+ years,1
10000.0,24.67,4 years,1
5725.0,12.67,3 years,1
15600.0,17.59,5 years,1
20000.0,31.23,9 years,1
4550.0,26.08,5 years,1
11000.0,10.78,4 years,1
26825.0,31.61,10+ years,1
8375.0,7.5,10+ years,1
25000.0,22.37,3 years,1
15000.0,21.87,9 years,1
19200.0,17.84,8 years,1
16000.0,26.16,5 years,1
24000.0,16.58,,1
12000.0,7.54,2 years,1
14400.0,12.47,10+ years,1
4325.0,14.79,2 years,1
7500.0,26.76,3 years,1
25000.0,39.3,6 years,1
14000.0,12.52,,1
3525.0,25.63,1 year,1
5400.0,18.17,2 years,1
24000.0,24.75,6 years,1
17000.0,12.29,2 years,1
10000.0,16.28,10+ years,1
35000.0,25.11,10+ years,1
12000.0,12.02,< 1 year,1
21600.0,13.58,4 years,1
4000.0,38.02,1 year,1
18000.0,13.57,7 years,1
20900.0,18.96,2 years,1
20825.0,24.59,10+ years,1
10175.0,28.03,3 years,1
12000.0,22.96,10+ years,1
20000.0,21.09,6 years,1
4000.0,19.59,10+ years,1
15000.0,13.57,10+ years,1
16000.0,15.73,10+ years,1
14000.0,25.38,10+ years,1
4175.0,9.16,4 years,1
5000.0,26.2,8 years,1
20000.0,10.45,,1
30000.0,11.65,10+ years,1
5500.0,21.15,3 years,1
30000.0,16.21,3 years,1
24000.0,14.42,3 years,1
9800.0,14.69,10+ years,1
12000.0,24.61,3 years,1
15000.0,22.77,10+ years,1
24000.0,27.58,6 years,1
10000.0,31.8,< 1 year,1
19800.0,13.12,7 years,1
8000.0,29.2,3 years,1
5600.0,30.98,10+ years,1
20000.0,15.83,3 years,1
10000.0,7.37,6 years,1
3000.0,6.74,< 1 year,1
9525.0,18.39,3 years,1
10000.0,18.69,3 years,1
10000.0,26.02,8 years,1
15500.0,12.63,10+ years,1
3000.0,1.94,10+ years,1
1000.0,3.07,10+ years,1
20000.0,8.39,4 years,1
16275.0,18.72,1 year,1
16000.0,34.41,2 years,1
10000.0,22.83,3 years,1
4000.0,19.07,< 1 year,1
4000.0,15.53,10+ years,1
10650.0,11.41,6 years,1
6950.0,24.13,10+ years,1
8000.0,5.68,7 years,1
8000.0,12.29,7 years,1
8000.0,38.63,8 years,1
7500.0,21.84,1 year,1
22350.0,35.79,9 years,1
10000.0,10.94,7 years,1
6000.0,20.62,< 1 year,1
