Year,Month,Region,Nationality,Visitors (1000s),Avg Stay (nights),Revenue (Million €)
2021,12,Vienna,Other,26,1,6.357196969696969
2021,1,Carinthia,Germany,188,6,41.86971830985915
2021,1,Carinthia,Austria,58,6,12.91725352112676
2021,1,Carinthia,Netherlands,57,6,12.694542253521128
2021,1,Carinthia,UK,55,6,12.249119718309858
2021,1,Carinthia,USA,32,6,7.126760563380282
2021,1,Carinthia,China,49,6,10.912852112676056
2021,1,Carinthia,Switzerland,47,6,10.467429577464788
2021,1,Carinthia,Italy,22,6,4.899647887323943
2021,1,Carinthia,France,40,6,8.908450704225352
2021,1,Carinthia,Other,20,6,4.454225352112676
2021,2,Carinthia,Germany,187,2,49.0506309148265
2021,2,Carinthia,Austria,58,2,15.213564668769717
2021,2,Carinthia,Netherlands,52,2,13.639747634069401
2021,2,Carinthia,UK,72,2,18.885804416403786
2021,2,Carinthia,USA,26,2,6.819873817034701
2021,2,Carinthia,China,54,2,14.16435331230284
2021,2,Carinthia,Switzerland,71,2,18.62350157728707
2021,2,Carinthia,Italy,27,2,7.08217665615142
2021,2,Carinthia,France,43,2,11.279022082018928
2021,2,Carinthia,Other,44,2,11.541324921135647
2021,3,Carinthia,Germany,168,3,62.12774869109947
2021,3,Carinthia,Austria,56,3,20.709249563699824
2021,3,Carinthia,Netherlands,67,3,24.777137870855146
2021,3,Carinthia,UK,46,3,17.011169284467712
2021,3,Carinthia,USA,28,3,10.354624781849912
2021,3,Carinthia,China,48,3,17.75078534031414
2021,3,Carinthia,Switzerland,62,3,22.92809773123909
2021,3,Carinthia,Italy,32,3,11.833856893542759
2021,3,Carinthia,France,41,3,15.162129144851658
2021,3,Carinthia,Other,25,3,9.245200698080279
2021,4,Carinthia,Germany,211,6,53.31577287066246
2021,4,Carinthia,Austria,63,6,15.918927444794953
2021,4,Carinthia,Netherlands,59,6,14.90820189274448
2021,4,Carinthia,UK,64,6,16.171608832807568
2021,4,Carinthia,USA,31,6,7.833123028391167
2021,4,Carinthia,China,49,6,12.381388012618297
2021,4,Carinthia,Switzerland,61,6,15.413564668769714
2021,4,Carinthia,Italy,31,6,7.833123028391167
2021,4,Carinthia,France,40,6,10.107255520504731
2021,4,Carinthia,Other,25,6,6.317034700315457
2021,5,Carinthia,Germany,199,3,63.48290734824281
2021,5,Carinthia,Austria,54,3,17.226517571884983
2021,5,Carinthia,Netherlands,66,3,21.054632587859423
2021,5,Carinthia,UK,63,3,20.097603833865815
2021,5,Carinthia,USA,31,3,9.889297124600638
2021,5,Carinthia,China,39,3,12.441373801916932
2021,5,Carinthia,Switzerland,63,3,20.097603833865815
2021,5,Carinthia,Italy,32,3,10.208306709265175
2021,5,Carinthia,France,51,3,16.269488817891375
2021,5,Carinthia,Other,28,3,8.932268370607028
2021,6,Carinthia,Germany,187,6,79.98644067796612
2021,6,Carinthia,Austria,59,6,25.236363636363638
2021,6,Carinthia,Netherlands,61,6,26.091833590138677
2021,6,Carinthia,UK,76,6,32.507858243451466
2021,6,Carinthia,USA,30,6,12.832049306625578
2021,6,Carinthia,China,57,6,24.3808936825886
2021,6,Carinthia,Switzerland,67,6,28.658243451463793
2021,6,Carinthia,Italy,38,6,16.253929121725733
2021,6,Carinthia,France,47,6,20.103543913713406
2021,6,Carinthia,Other,27,6,11.548844375963021
2021,7,Carinthia,Germany,187,4,68.85133858267717
2021,7,Carinthia,Austria,55,4,20.250393700787402
2021,7,Carinthia,Netherlands,68,4,25.03685039370079
2021,7,Carinthia,UK,49,4,18.041259842519686
2021,7,Carinthia,USA,32,4,11.782047244094489
2021,7,Carinthia,China,55,4,20.250393700787402
2021,7,Carinthia,Switzerland,72,4,26.5096062992126
2021,7,Carinthia,Italy,34,4,12.518425196850394
2021,7,Carinthia,France,52,4,19.145826771653542
2021,7,Carinthia,Other,31,4,11.413858267716536
2021,8,Carinthia,Germany,187,5,92.60526315789473
2021,8,Carinthia,Austria,68,5,33.67464114832536
2021,8,Carinthia,Netherlands,67,5,33.17942583732057
2021,8,Carinthia,UK,65,5,32.188995215311
2021,8,Carinthia,USA,21,5,10.39952153110048
2021,8,Carinthia,China,40,5,19.808612440191386
2021,8,Carinthia,Switzerland,72,5,35.655502392344495
2021,8,Carinthia,Italy,34,5,16.83732057416268
2021,8,Carinthia,France,36,5,17.827751196172247
2021,8,Carinthia,Other,37,5,18.322966507177032
2021,9,Carinthia,Germany,164,4,77.25643738977072
2021,9,Carinthia,Austria,68,4,32.0331569664903
2021,9,Carinthia,Netherlands,66,4,31.091005291005292
2021,9,Carinthia,UK,51,4,24.024867724867725
2021,9,Carinthia,USA,19,4,8.950440917107583
2021,9,Carinthia,China,55,4,25.909171075837744
2021,9,Carinthia,Switzerland,53,4,24.967019400352733
2021,9,Carinthia,Italy,28,4,13.190123456790124
2021,9,Carinthia,France,37,4,17.429805996472663
2021,9,Carinthia,Other,26,4,12.247971781305115
2021,10,Carinthia,Germany,165,4,70.54591836734693
2021,10,Carinthia,Austria,69,4,29.501020408163267
2021,10,Carinthia,Netherlands,58,4,24.79795918367347
2021,10,Carinthia,UK,51,4,21.805102040816326
2021,10,Carinthia,USA,34,4,14.536734693877552
2021,10,Carinthia,China,38,4,16.246938775510205
2021,10,Carinthia,Switzerland,61,4,26.08061224489796
2021,10,Carinthia,Italy,38,4,16.246938775510205
2021,10,Carinthia,France,43,4,18.38469387755102
2021,10,Carinthia,Other,31,4,13.254081632653062
2021,11,Carinthia,Germany,174,6,86.56499999999998
2021,11,Carinthia,Austria,70,6,34.824999999999996
2021,11,Carinthia,Netherlands,48,6,23.88
2021,11,Carinthia,UK,71,6,35.3225
2021,11,Carinthia,USA,39,6,19.4025
2021,11,Carinthia,China,74,6,36.815
2021,11,Carinthia,Switzerland,63,6,31.342499999999998
2021,11,Carinthia,Italy,35,6,17.412499999999998
2021,11,Carinthia,France,31,6,15.4225
2021,11,Carinthia,Other,35,6,17.412499999999998
2021,12,Carinthia,Germany,180,3,42.95921696574225
2021,12,Carinthia,Austria,56,3,13.36508972267537
2021,12,Carinthia,Netherlands,60,3,14.319738988580752
2021,12,Carinthia,UK,61,3,14.558401305057096
2021,12,Carinthia,USA,39,3,9.307830342577489
2021,12,Carinthia,China,42,3,10.023817292006527
2021,12,Carinthia,Switzerland,64,3,15.274388254486135
2021,12,Carinthia,Italy,29,3,6.92120717781403
2021,12,Carinthia,France,46,3,10.97846655791191
2021,12,Carinthia,Other,36,3,8.591843393148451
2021,1,Styria,Germany,175,6,58.3974358974359
2021,1,Styria,Austria,63,6,21.02307692307692
2021,1,Styria,Netherlands,60,6,20.021978021978022
2021,1,Styria,UK,47,6,15.683882783882783
2021,1,Styria,USA,25,6,8.342490842490841
2021,1,Styria,China,29,6,9.677289377289377
2021,1,Styria,Switzerland,62,6,20.689377289377287
2021,1,Styria,Italy,29,6,9.677289377289377
2021,1,Styria,France,30,6,10.010989010989011
2021,1,Styria,Other,26,6,8.676190476190476
2021,2,Styria,Germany,140,4,39.46777546777547
2021,2,Styria,Austria,51,4,14.377546777546778
2021,2,Styria,Netherlands,55,4,15.505197505197506
2021,2,Styria,UK,51,4,14.377546777546778
2021,2,Styria,USA,25,4,7.047817047817048
2021,2,Styria,China,36,4,10.14885654885655
2021,2,Styria,Switzerland,41,4,11.55841995841996
2021,2,Styria,Italy,27,4,7.6116424116424115
2021,2,Styria,France,29,4,8.175467775467775
2021,2,Styria,Other,26,4,7.3297297297297295
2021,3,Styria,Germany,167,5,34.29025735294118
2021,3,Styria,Austria,53,5,10.882536764705883
2021,3,Styria,Netherlands,48,5,9.855882352941178
2021,3,Styria,UK,53,5,10.882536764705883
2021,3,Styria,USA,28,5,5.749264705882353
2021,3,Styria,China,47,5,9.650551470588235
2021,3,Styria,Switzerland,52,5,10.67720588235294
2021,3,Styria,Italy,38,5,7.802573529411765
2021,3,Styria,France,38,5,7.802573529411765
2021,3,Styria,Other,20,5,4.106617647058823
2021,4,Styria,Germany,165,3,56.753465346534654
2021,4,Styria,Austria,55,3,18.917821782178216
2021,4,Styria,Netherlands,40,3,13.758415841584158
2021,4,Styria,UK,44,3,15.134257425742572
2021,4,Styria,USA,20,3,6.879207920792079
2021,4,Styria,China,38,3,13.070495049504949
2021,4,Styria,Switzerland,47,3,16.166138613861385
2021,4,Styria,Italy,26,3,8.942970297029701
2021,4,Styria,France,48,3,16.51009900990099
2021,4,Styria,Other,22,3,7.567128712871286
2021,5,Styria,Germany,133,3,65.58669527896996
2021,5,Styria,Austria,56,3,27.615450643776825
2021,5,Styria,Netherlands,40,3,19.72532188841202
2021,5,Styria,UK,57,3,28.108583690987125
2021,5,Styria,USA,24,3,11.83519313304721
2021,5,Styria,China,42,3,20.71158798283262
2021,5,Styria,Switzerland,48,3,23.67038626609442
2021,5,Styria,Italy,13,3,6.410729613733906
2021,5,Styria,France,34,3,16.766523605150216
2021,5,Styria,Other,19,3,9.369527896995708
